aX,aY,aZ,gX,gY,gZ
-0.200928,0.934570,-0.100830,-8.850098,5.859375,-15.563964
-0.202393,0.953491,-0.019165,-15.747069,9.521484,-13.244628
-0.191406,0.942749,-0.095947,-18.859863,21.423338,-12.939452
-0.182617,0.941162,-0.218140,-17.578125,29.479979,-10.681151
-0.170776,0.986572,-0.348267,-16.357422,18.798828,-11.108397
-0.175293,0.956787,-0.253662,-16.235352,13.305663,-12.634276
-0.178223,0.931030,-0.151123,-15.075683,9.765625,-11.596679
-0.162842,0.942505,-0.221680,-9.216309,17.944336,-8.483887
-0.155396,0.942383,-0.269165,-10.131835,20.202635,-7.263183
-0.150513,0.975830,-0.347656,-8.483887,14.892577,-8.789063
